url,path,label,pagerank,in_links,out_links
https://okatakuma.tokyo/contact-us,/contact-us,contact-us,0.03616998616862058,105,16
https://okatakuma.tokyo/,/,/,0.03327901372350984,99,31
https://okatakuma.tokyo/takumanopurofyi-ru,/takumanopurofyi-ru,takumanopurofyi-ru,0.03036743985247054,96,16
https://okatakuma.tokyo/site-map,/site-map,site-map,0.02831105356153688,85,84
https://okatakuma.tokyo/achievements,/achievements,achievements,0.02804545536748518,85,31
https://okatakuma.tokyo/shidoni-omiyage,/shidoni-omiyage,shidoni-omiyage,0.027839496787544223,85,27
https://okatakuma.tokyo/taikaosanndouri,/taikaosanndouri,taikaosanndouri,0.02773474587536369,85,26
https://okatakuma.tokyo/taisyokukin,/taisyokukin,taisyokukin,0.02747802884264285,84,34
https://okatakuma.tokyo/writer-achievements,/writer-achievements,writer-achievements,0.0273958497916287,85,16
https://okatakuma.tokyo/privacy,/privacy,privacy,0.0273958497916287,85,16
https://okatakuma.tokyo/paidpost-terms,/paidpost-terms,paidpost-terms,0.0273958497916287,85,16
https://okatakuma.tokyo/barrio-island-caching,/barrio-island-caching,barrio-island-caching,0.02738895900459584,84,30
https://okatakuma.tokyo/category/travel_sightseeing-ja,/category/travel_sightseeing-ja,category/travel_sightseeing-ja,0.02723885823896242,84,25
https://okatakuma.tokyo/category/job-change_employment-ja,/category/job-change_employment-ja,category/job-change_employment-ja,0.02723885823896242,84,25
https://okatakuma.tokyo/changer-40s,/changer-40s,changer-40s,0.027201589759337112,84,24
https://okatakuma.tokyo/category/seo-ja,/category/seo-ja,category/seo-ja,0.02720158975933711,84,24
https://okatakuma.tokyo/en,/en,en,0.026670201569896593,90,22
https://okatakuma.tokyo/author/okatakuma,/author/okatakuma,author/okatakuma,0.014950860859997783,73,24
https://okatakuma.tokyo/en/contact-form,/en/contact-form,en/contact-form,0.012503991263882044,21,14
https://okatakuma.tokyo/en/privacy-policy,/en/privacy-policy,en/privacy-policy,0.01211076076688262,21,15
https://okatakuma.tokyo/en/portfolio-work-history,/en/portfolio-work-history,en/portfolio-work-history,0.01211076076688262,21,15
https://okatakuma.tokyo/en/terms-of-use,/en/terms-of-use,en/terms-of-use,0.01211076076688262,21,15
https://okatakuma.tokyo/en/khao-san-road,/en/khao-san-road,en/khao-san-road,0.011771864683147629,21,21
https://okatakuma.tokyo/en/best-places-to-buy-souvenirs,/en/best-places-to-buy-souvenirs,en/best-places-to-buy-souvenirs,0.011667113770967096,21,18
https://okatakuma.tokyo/en/seo-digital-marketing-portfolio,/en/seo-digital-marketing-portfolio,en/seo-digital-marketing-portfolio,0.01146115519102613,21,15
https://okatakuma.tokyo/en/site-maps,/en/site-maps,en/site-maps,0.011195556996974438,21,22
https://okatakuma.tokyo/en/ubud-bali-travel-guide,/en/ubud-bali-travel-guide,en/ubud-bali-travel-guide,0.010921491785825199,21,18
https://okatakuma.tokyo/en/cheap-movie-theaters,/en/cheap-movie-theaters,en/cheap-movie-theaters,0.010879262973696879,20,20
https://okatakuma.tokyo/en/japans-47-prefectures,/en/japans-47-prefectures,en/japans-47-prefectures,0.010879262973696879,20,20
https://okatakuma.tokyo/en/category/travel-en,/en/category/travel-en,en/category/travel-en,0.010769502101024992,20,16
https://okatakuma.tokyo/en/profile-of-takuma-oka,/en/profile-of-takuma-oka,en/profile-of-takuma-oka,0.010733405661129316,20,15
https://okatakuma.tokyo/philippine-hotel,/philippine-hotel,philippine-hotel,0.00915364826361922,26,29
https://okatakuma.tokyo/munich,/munich,munich,0.009134969609026152,26,27
https://okatakuma.tokyo/sola,/sola,sola,0.009134969609026152,26,27
https://okatakuma.tokyo/47ken,/47ken,47ken,0.009074259209193395,25,27
https://okatakuma.tokyo/transwoman,/transwoman,transwoman,0.008703669866885005,27,30
https://okatakuma.tokyo/el-nido,/el-nido,el-nido,0.008443612816709876,26,28
https://okatakuma.tokyo/borakai,/borakai,borakai,0.008269101012697481,25,27
https://okatakuma.tokyo/london,/london,london,0.008180017539629188,24,26
https://okatakuma.tokyo/philippine-job,/philippine-job,philippine-job,0.007934491660429737,23,26
https://okatakuma.tokyo/rarejob-english-conversation,/rarejob-english-conversation,rarejob-english-conversation,0.007606940448798253,21,25
https://okatakuma.tokyo/report-automation,/report-automation,report-automation,0.007309326174907231,34,33
https://okatakuma.tokyo/list,/list,list,0.0069717682222854155,21,26
https://okatakuma.tokyo/en/how-to-book-a-blue-mountains,/en/how-to-book-a-blue-mountains,en/how-to-book-a-blue-mountains,0.006919950126088948,14,17
https://okatakuma.tokyo/qq-english,/qq-english,qq-english,0.006793382267515467,21,26
https://okatakuma.tokyo/dmm-review,/dmm-review,dmm-review,0.0067244557909173965,20,25
https://okatakuma.tokyo/nativecamp-review,/nativecamp-review,nativecamp-review,0.0067244557909173965,20,25
https://okatakuma.tokyo/ecc-online,/ecc-online,ecc-online,0.0067244557909173965,20,25
https://okatakuma.tokyo/ec-internal-link-optimization,/ec-internal-link-optimization,ec-internal-link-optimization,0.006444647313442693,33,39
https://okatakuma.tokyo/ec-access-not-increasing,/ec-access-not-increasing,ec-access-not-increasing,0.006444647313442693,33,39
https://okatakuma.tokyo/owned-media,/owned-media,owned-media,0.006437225366666251,33,37
https://okatakuma.tokyo/thought-leadership-content,/thought-leadership-content,thought-leadership-content,0.006437225366666251,33,37
https://okatakuma.tokyo/ec-product-page,/ec-product-page,ec-product-page,0.0064289753086899035,33,35
https://okatakuma.tokyo/booking-engine,/booking-engine,booking-engine,0.0064147166468856535,33,32
https://okatakuma.tokyo/udemyspa,/udemyspa,udemyspa,0.006391092243732193,33,28
https://okatakuma.tokyo/teinen,/teinen,teinen,0.005725369174260666,18,34
